Method	Path	OperationId	RequestSchema	PrimaryResponseSchema
GET	/api/v1/health	health_check_api_v1_health_get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/health/detailed	detailed_health_check_api_v1_health_detailed_get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/health/ready	readiness_check_api_v1_health_ready_get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/health/live	liveness_check_api_v1_health_live_get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/courses	list_courses_api_v1_courses_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/courses	create_course_api_v1_courses_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}	get_course_api_v1_courses__courseId__get	NOT_FOUND	INLINE_OR_EMPTY
PUT	/api/v1/courses/{courseId}	upsert_course_api_v1_courses__courseId__put	INLINE_OR_EMPTY	INLINE_OR_EMPTY
PATCH	/api/v1/courses/{courseId}	update_course_api_v1_courses__courseId__patch	INLINE_OR_EMPTY	INLINE_OR_EMPTY
DELETE	/api/v1/courses/{courseId}	delete_course_api_v1_courses__courseId__delete	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/pages	list_pages_api_v1_courses__courseId__pages_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/courses/{courseId}/pages	create_page_api_v1_courses__courseId__pages_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
POST	/api/v1/courses/{courseId}/pages/from-template	create_page_from_template_api_v1_courses__courseId__pages_from_template_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/courses/templates/available	get_templates_for_pages_api_v1_courses_templates_available_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/courses/validate	validate_course_api_v1_courses_validate_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/templates	list_templates_api_v1_courses__courseId__templates_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/courses/{courseId}/templates	create_template_api_v1_courses__courseId__templates_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/templates/{template_id}	get_template_api_v1_courses__courseId__templates__template_id__get	NOT_FOUND	INLINE_OR_EMPTY
PATCH	/api/v1/courses/{courseId}/templates/{template_id}	update_template_api_v1_courses__courseId__templates__template_id__patch	INLINE_OR_EMPTY	INLINE_OR_EMPTY
DELETE	/api/v1/courses/{courseId}/templates/{template_id}	delete_template_api_v1_courses__courseId__templates__template_id__delete	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/courses/{courseId}/templates/reorder	reorder_templates_api_v1_courses__courseId__templates_reorder_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
POST	/api/v1/export	export_course_api_v1_export_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
POST	/api/v1/export/validate	validate_course_for_export_api_v1_export_validate_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/export/formats	get_export_formats_api_v1_export_formats_get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/export/status/{exportId}	get_export_status_api_v1_export_status__exportId__get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/export/scorm/{courseId}	export_persisted_course_api_v1_export_scorm__courseId__post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
POST	/api/v1/imports/analyze	analyze_import_api_v1_imports_analyze_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/imports/jobs/{job_id}	get_import_status_api_v1_imports_jobs__job_id__get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/imports/jobs/{job_id}/commit	commit_import_api_v1_imports_jobs__job_id__commit_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/imports/jobs/{job_id}/preview	get_import_preview_api_v1_imports_jobs__job_id__preview_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/media/upload	upload_media_api_v1_media_upload_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/media/files/{file_path}	serve_media_file_api_v1_media_files__file_path__get	NOT_FOUND	INLINE_OR_EMPTY
DELETE	/api/v1/media/files/{file_id}	delete_media_file_api_v1_media_files__file_id__delete	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/media/	list_media_files_api_v1_media__get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/categories	get_template_categories_api_v1_templates_enhanced_categories_get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/categories/{category_id}	get_category_details_api_v1_templates_enhanced_categories__category_id__get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/categories/{category_id}/stats	get_category_stats_api_v1_templates_enhanced_categories__category_id__stats_get	NOT_FOUND	INLINE_OR_EMPTY
