NODE_COUNT	306
EDGE_COUNT	443
CYCLE_COUNT	0
FANOUT	11	src/components/Header.tsx
FANOUT	11	src/export-runtime/core/rendererRegistry.ts
FANOUT	10	src/components/EditorV2.tsx
FANOUT	9	src/components/ComponentList.tsx
FANOUT	9	src/components/MenuBar.tsx
FANOUT	9	src/components/PreviewV2.tsx
FANOUT	7	src/components/PageManager.tsx
FANOUT	7	src/components/PageWrapper.tsx
FANOUT	6	src/components/Editor.tsx
FANOUT	6	src/components/PageEditor.tsx
FANOUT	6	src/export-runtime/core/runtime.ts
FANOUT	6	src/store/index.ts
FANOUT	6	src/store/slices/courseSlice.ts
FANOUT	5	src/components/DynamicComponentRenderer.tsx
FANOUT	5	src/components/TemplateSelector.tsx
FANOUT	5	src/context/CourseContext.tsx
FANOUT	4	src/components/ComponentSettings.tsx
FANOUT	4	src/components/Preview.tsx
FANOUT	4	src/export-runtime/core/runtime.smoke.test.ts
FANOUT	4	src/services/ValidationService.ts
